Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_Type,Match_ID,Bowler,Player_ID
8,0,57,0,7.12,0.00,0.00,India,Nagpur,12/18/09,ODI ,2933,Suranga Lakmal,49619
10,0,55,2,5.50,27.50,30.00,India,Kolkata,12/24/09,ODI ,2935,Suranga Lakmal,49619
0,0,0,0,0.00,0.00,0.00,India,Delhi,12/27/09,ODI ,2936,Suranga Lakmal,49619
9,1,63,2,7.00,31.50,27.00,Bangladesh,Dhaka,01/04/10,ODI ,2937,Suranga Lakmal,49619
8,1,48,0,6.00,0.00,0.00,India,Dhaka,01/05/10,ODI ,2938,Suranga Lakmal,49619
10,0,75,0,7.50,0.00,0.00,India,Dhaka,01/10/10,ODI ,2941,Suranga Lakmal,49619
7,0,52,2,7.42,26.00,21.00,England,The Oval,06/28/11,ODI ,3165,Suranga Lakmal,49619
8,0,43,3,5.48,14.33,15.60,England,Leeds,07/01/11,ODI ,3167,Suranga Lakmal,49619
10,0,62,2,6.20,31.00,30.00,England,Lord's,07/03/11,ODI ,3168,Suranga Lakmal,49619
2,0,12,0,6.00,0.00,0.00,England,Nottingham,07/06/11,ODI ,3169,Suranga Lakmal,49619
5,0,39,0,7.80,0.00,0.00,Australia,Pallekele,08/10/11,ODI ,3175,Suranga Lakmal,49619
4,0,16,2,4.00,8.00,12.00,Pakistan,Dubai (DSC),11/11/11,ODI ,3212,Suranga Lakmal,49619
10,1,67,1,6.70,67.00,60.00,India,Dhaka,03/13/12,ODI ,3259,Suranga Lakmal,49619
8,1,37,2,4.62,18.50,24.00,Pakistan,Dhaka,03/15/12,ODI ,3260,Suranga Lakmal,49619
7,0,44,1,6.13,44.00,43.00,Bangladesh,Dhaka,03/20/12,ODI ,3265,Suranga Lakmal,49619
10,1,33,1,3.30,33.00,60.00,India,Port of Spain,07/11/13,ODI ,3388,Suranga Lakmal,49619
6,0,22,3,3.77,7.33,11.60,South Africa,Colombo (RPS),07/31/13,ODI ,3401,Suranga Lakmal,49619
10,0,73,2,7.30,36.50,30.00,Pakistan,Sharjah,12/18/13,ODI ,3445,Suranga Lakmal,49619
9,0,49,1,5.44,49.00,54.00,Pakistan,Abu Dhabi,12/25/13,ODI ,3448,Suranga Lakmal,49619
7,0,42,3,5.60,14.00,15.00,Pakistan,Abu Dhabi,12/27/13,ODI ,3450,Suranga Lakmal,49619
10,3,24,2,2.40,12.00,30.00,Bangladesh,Dhaka,02/22/14,ODI ,3471,Suranga Lakmal,49619
9,1,65,2,7.22,32.50,27.00,Pakistan,Fatullah,02/25/14,ODI ,3473,Suranga Lakmal,49619
7,2,30,2,4.28,15.00,21.00,Afghanistan,Dhaka,03/03/14,ODI ,3481,Suranga Lakmal,49619
10,0,32,2,3.20,16.00,30.00,Bangladesh,Dhaka,03/06/14,ODI ,3485,Suranga Lakmal,49619
10,2,41,0,4.10,0.00,0.00,Pakistan,Dhaka,03/08/14,ODI ,3486,Suranga Lakmal,49619
8,1,29,3,3.62,9.66,16.00,Ireland,Dublin,05/06/14,ODI ,3490,Suranga Lakmal,49619
6,0,34,0,5.66,0.00,0.00,England,The Oval,05/22/14,ODI ,3492,Suranga Lakmal,49619
8,0,30,4,3.75,7.50,12.00,England,Pallekele,12/13/14,ODI ,3567,Suranga Lakmal,49619
8,1,25,2,3.12,12.50,24.00,England,Colombo (RPS),12/16/14,ODI ,3569,Suranga Lakmal,49619
10,0,93,0,9.30,0.00,0.00,New Zealand,Dunedin,01/23/15,ODI ,3588,Suranga Lakmal,49619
7,1,31,0,4.42,0.00,0.00,New Zealand,Dunedin,01/25/15,ODI ,3590,Suranga Lakmal,49619
10,0,62,2,6.20,31.00,30.00,New Zealand,Christchurch,02/14/15,ODI ,3599,Suranga Lakmal,49619
10,1,36,2,3.60,18.00,30.00,Afghanistan,Dunedin,02/22/15,ODI ,3609,Suranga Lakmal,49619
8,0,49,2,6.12,24.50,24.00,Bangladesh,Melbourne,02/26/15,ODI ,3615,Suranga Lakmal,49619
7,0,71,1,9.26,71.00,46.00,England,Wellington,03/01/15,ODI ,3619,Suranga Lakmal,49619
5,1,21,1,4.20,21.00,30.00,Pakistan,Dambulla,07/11/15,ODI ,3664,Suranga Lakmal,49619
8,0,50,1,6.25,50.00,48.00,Pakistan,Colombo (RPS),07/22/15,ODI ,3671,Suranga Lakmal,49619
6,0,35,0,5.83,0.00,0.00,Pakistan,Hambantota,07/26/15,ODI ,3672,Suranga Lakmal,49619
5,0,15,3,3.00,5.00,10.00,West Indies,Colombo (RPS),11/01/15,ODI ,3701,Suranga Lakmal,49619
7,0,51,1,7.28,51.00,42.00,West Indies,Colombo (RPS),11/04/15,ODI ,3702,Suranga Lakmal,49619
7,0,40,2,5.71,20.00,21.00,West Indies,Pallekele,11/07/15,ODI ,3704,Suranga Lakmal,49619
3,0,24,0,8.00,0.00,0.00,New Zealand,Christchurch,12/26/15,ODI ,3714,Suranga Lakmal,49619
10,1,38,4,3.80,9.50,15.00,Ireland,Dublin (Malahide),06/18/16,ODI ,3749,Suranga Lakmal,49619
10,0,65,2,6.50,32.50,30.00,England,Nottingham,06/21/16,ODI ,3751,Suranga Lakmal,49619
5,0,21,0,4.20,0.00,0.00,England,Birmingham,06/24/16,ODI ,3753,Suranga Lakmal,49619
2,0,8,1,4.00,8.00,12.00,England,Bristol,06/26/16,ODI ,3755,Suranga Lakmal,49619
7,0,48,1,6.85,48.00,42.00,England,The Oval,06/29/16,ODI ,3757,Suranga Lakmal,49619
10,0,65,1,6.50,65.00,60.00,England,Cardiff,07/02/16,ODI ,3758,Suranga Lakmal,49619
8,1,30,0,3.75,0.00,0.00,Australia,Pallekele,09/04/16,ODI ,3776,Suranga Lakmal,49619
7,0,19,2,2.71,9.50,21.00,Zimbabwe,Harare,11/14/16,ODI ,3804,Suranga Lakmal,49619
9,1,45,2,4.82,22.50,28.00,West Indies,Harare,11/16/16,ODI ,3805,Suranga Lakmal,49619
4,1,14,0,3.50,0.00,0.00,Zimbabwe,Bulawayo,11/21/16,ODI ,3807,Suranga Lakmal,49619
10,0,67,2,6.70,33.50,30.00,West Indies,Bulawayo,11/23/16,ODI ,3808,Suranga Lakmal,49619
6,0,23,1,3.83,23.00,36.00,Zimbabwe,Bulawayo,11/27/16,ODI ,3810,Suranga Lakmal,49619
6,1,29,0,4.83,0.00,0.00,South Africa,Port Elizabeth,01/28/17,ODI ,3828,Suranga Lakmal,49619
7,0,54,2,7.71,27.00,21.00,South Africa,Durban,02/01/17,ODI ,3830,Suranga Lakmal,49619
6,1,23,0,3.83,0.00,0.00,South Africa,Johannesburg,02/04/17,ODI ,3831,Suranga Lakmal,49619
10,0,71,3,7.10,23.66,20.00,South Africa,Centurion,02/10/17,ODI ,3834,Suranga Lakmal,49619
8,0,45,2,5.62,22.50,24.00,Bangladesh,Dambulla,03/25/17,ODI ,3855,Suranga Lakmal,49619
0,0,0,0,0.00,0.00,0.00,Bangladesh,Dambulla,03/28/17,ODI ,3856,Suranga Lakmal,49619
8,0,38,2,4.75,19.00,24.00,Bangladesh,Colombo (SSC),04/01/17,ODI ,3858,Suranga Lakmal,49619
10,0,51,1,5.10,51.00,60.00,South Africa,The Oval,06/03/17,ODI ,3877,Suranga Lakmal,49619
10,1,72,1,7.20,72.00,60.00,India,The Oval,06/08/17,ODI ,3882,Suranga Lakmal,49619
10,0,48,1,4.80,48.00,60.00,Pakistan,Cardiff,06/12/17,ODI ,3888,Suranga Lakmal,49619
10,0,47,2,4.70,23.50,30.00,Pakistan,Dubai (DSC),10/13/17,ODI ,3922,Suranga Lakmal,49619
10,0,42,1,4.20,42.00,60.00,Pakistan,Abu Dhabi,10/16/17,ODI ,3924,Suranga Lakmal,49619
7,0,25,0,3.57,0.00,0.00,Pakistan,Sharjah,10/20/17,ODI ,3927,Suranga Lakmal,49619
10,4,13,4,1.30,3.25,15.00,India,Dharamsala,12/10/17,ODI ,3939,Suranga Lakmal,49619
8,0,71,0,8.87,0.00,0.00,India,Mohali,12/13/17,ODI ,3941,Suranga Lakmal,49619
5,2,20,0,4.00,0.00,0.00,India,Visakhapatnam,12/17/17,ODI ,3942,Suranga Lakmal,49619
10,0,70,1,7.00,70.00,60.00,Zimbabwe,Dhaka,01/17/18,ODI ,3955,Suranga Lakmal,49619
9,0,60,0,6.66,0.00,0.00,Bangladesh,Dhaka,01/19/18,ODI ,3959,Suranga Lakmal,49619
7,0,23,0,3.28,0.00,0.00,Zimbabwe,Dhaka,01/21/18,ODI ,3962,Suranga Lakmal,49619
7,1,21,3,3.00,7.00,14.00,Bangladesh,Dhaka,01/25/18,ODI ,3965,Suranga Lakmal,49619
9,2,29,0,3.22,0.00,0.00,Bangladesh,Dhaka,01/27/18,ODI ,3967,Suranga Lakmal,49619
6,0,37,1,6.16,37.00,36.00,South Africa,Dambulla,07/29/18,ODI ,4025,Suranga Lakmal,49619
7,0,39,1,5.57,39.00,42.00,South Africa,Dambulla,08/01/18,ODI ,4027,Suranga Lakmal,49619
9,1,59,0,6.55,0.00,0.00,South Africa,Pallekele,08/05/18,ODI ,4029,Suranga Lakmal,49619
5,0,46,3,9.20,15.33,10.00,South Africa,Pallekele,08/08/18,ODI ,4030,Suranga Lakmal,49619
4,0,22,1,5.50,22.00,24.00,South Africa,Colombo (RPS),08/12/18,ODI ,4031,Suranga Lakmal,49619
10,0,46,1,4.60,46.00,60.00,Bangladesh,Dubai (DSC),09/15/18,ODI ,4036,Suranga Lakmal,49619
9,0,83,1,9.22,83.00,54.00,India,Guwahati,10/21/18,ODI ,4056,Oshane Thomas,914567
4,0,33,1,8.25,33.00,24.00,India,Thiruvananthapuram,11/01/18,ODI ,4064,Oshane Thomas,914567
5,0,34,1,6.80,34.00,30.00,Bangladesh,Dhaka,12/09/18,ODI ,4071,Oshane Thomas,914567
10,0,54,3,5.40,18.00,20.00,Bangladesh,Dhaka,12/11/18,ODI ,4072,Oshane Thomas,914567
9,0,72,1,8.00,72.00,54.00,England,Bridgetown,02/20/19,ODI ,4096,Oshane Thomas,914567
5,0,32,1,6.40,32.00,30.00,England,Bridgetown,02/22/19,ODI ,4097,Oshane Thomas,914567
0,0,0,0,0.00,0.00,0.00,England,St George's,02/25/19,ODI ,4098,Oshane Thomas,914567
10,0,84,2,8.40,42.00,30.00,England,St George's,02/27/19,ODI ,4099,Oshane Thomas,914567
5,0,21,5,4.06,4.20,6.20,England,Gros Islet,03/02/19,ODI ,4103,Oshane Thomas,914567
10,2,37,1,3.70,37.00,60.00,Ireland,Mohali,03/11/11,ODI ,3126,Andre Russell,276298
8,0,49,4,6.12,12.25,12.00,England,Chennai,03/17/11,ODI ,3135,Andre Russell,276298
9,1,46,2,5.01,23.00,27.50,India,Chennai,03/20/11,ODI ,3141,Andre Russell,276298
5,1,36,0,7.20,0.00,0.00,Pakistan,Gros Islet,04/23/11,ODI ,3152,Andre Russell,276298
4,0,23,0,5.75,0.00,0.00,Pakistan,Bridgetown,04/28/11,ODI ,3154,Andre Russell,276298
9,0,59,1,6.55,59.00,54.00,India,North Sound,06/11/11,ODI ,3161,Andre Russell,276298
7,0,16,3,2.28,5.33,14.00,India,North Sound,06/13/11,ODI ,3162,Andre Russell,276298
8,0,35,4,4.11,8.75,12.70,India,Kingston,06/16/11,ODI ,3163,Andre Russell,276298
9,0,44,2,4.88,22.00,27.00,Bangladesh,Dhaka,10/13/11,ODI ,3198,Andre Russell,276298
9,1,50,1,5.55,50.00,54.00,Bangladesh,Dhaka,10/15/11,ODI ,3200,Andre Russell,276298
0,0,0,0,0.00,0.00,0.00,Bangladesh,Chattogram,10/18/11,ODI ,3202,Andre Russell,276298
9,1,29,2,3.22,14.50,27.00,India,Cuttack,11/29/11,ODI ,3217,Andre Russell,276298
8,0,60,0,7.34,0.00,0.00,India,Visakhapatnam,12/02/11,ODI ,3219,Andre Russell,276298
4,0,25,0,6.25,0.00,0.00,India,Ahmedabad,12/05/11,ODI ,3221,Andre Russell,276298
7,0,63,1,9.00,63.00,42.00,India,Indore,12/08/11,ODI ,3223,Andre Russell,276298
6,0,31,0,5.16,0.00,0.00,India,Chennai,12/11/11,ODI ,3224,Andre Russell,276298
4,0,21,0,5.25,0.00,0.00,Australia,Kingstown,03/16/12,ODI ,3262,Andre Russell,276298
6,0,14,0,2.33,0.00,0.00,Australia,Kingstown,03/18/12,ODI ,3264,Andre Russell,276298
5,0,28,0,5.60,0.00,0.00,Australia,Kingstown,03/20/12,ODI ,3266,Andre Russell,276298
7,0,34,2,4.85,17.00,21.00,Australia,Gros Islet,03/23/12,ODI ,3268,Andre Russell,276298
9,0,61,4,6.77,15.25,13.50,Australia,Gros Islet,03/25/12,ODI ,3269,Andre Russell,276298
6,0,43,0,7.16,0.00,0.00,England,Southampton,06/16/12,ODI ,3276,Andre Russell,276298
10,0,45,4,4.50,11.25,15.00,New Zealand,Kingston,07/05/12,ODI ,3283,Andre Russell,276298
9,0,51,1,5.66,51.00,54.00,New Zealand,Kingston,07/07/12,ODI ,3285,Andre Russell,276298
9,0,57,4,6.33,14.25,13.50,New Zealand,Basseterre,07/11/12,ODI ,3288,Andre Russell,276298
6,0,49,1,8.16,49.00,36.00,New Zealand,Basseterre,07/14/12,ODI ,3289,Andre Russell,276298
4,1,25,0,6.25,0.00,0.00,New Zealand,Basseterre,07/16/12,ODI ,3290,Andre Russell,276298
7,0,28,1,4.00,28.00,42.00,Bangladesh,Khulna,11/30/12,ODI ,3309,Andre Russell,276298
9,0,58,1,6.44,58.00,54.00,Bangladesh,Khulna,12/02/12,ODI ,3310,Andre Russell,276298
10,0,51,0,5.10,0.00,0.00,Bangladesh,Dhaka,12/08/12,ODI ,3313,Andre Russell,276298
5,0,41,0,8.20,0.00,0.00,Australia,Canberra,02/06/13,ODI ,3332,Andre Russell,276298
6,0,40,1,6.66,40.00,36.00,Australia,Sydney,02/08/13,ODI ,3333,Andre Russell,276298
7,0,24,2,3.42,12.00,21.00,Zimbabwe,St George's,02/22/13,ODI ,3337,Andre Russell,276298
6,0,29,0,4.83,0.00,0.00,Zimbabwe,St George's,02/24/13,ODI ,3339,Andre Russell,276298
4,0,31,2,7.75,15.50,12.00,New Zealand,Hamilton,01/08/14,ODI ,3453,Andre Russell,276298
4,0,21,1,5.25,21.00,24.00,India,Kochi,10/08/14,ODI ,3531,Andre Russell,276298
3,0,14,0,4.66,0.00,0.00,India,Delhi,10/11/14,ODI ,3533,Andre Russell,276298
7,0,48,1,6.85,48.00,42.00,India,Dharamsala,10/17/14,ODI ,3535,Andre Russell,276298
10,0,51,2,5.10,25.50,30.00,South Africa,Durban,01/16/15,ODI ,3579,Andre Russell,276298
10,0,78,1,7.80,78.00,60.00,South Africa,Johannesburg,01/18/15,ODI ,3583,Andre Russell,276298
5,0,15,0,3.00,0.00,0.00,South Africa,East London,01/21/15,ODI ,3587,Andre Russell,276298
10,1,60,1,6.00,60.00,60.00,South Africa,Port Elizabeth,01/25/15,ODI ,3591,Andre Russell,276298
8,0,85,3,10.62,28.33,16.00,South Africa,Centurion,01/28/15,ODI ,3593,Andre Russell,276298
6,0,33,0,5.50,0.00,0.00,Ireland,Nelson,02/16/15,ODI ,3603,Andre Russell,276298
8,2,33,3,4.12,11.00,16.00,Pakistan,Christchurch,02/21/15,ODI ,3608,Andre Russell,276298
5,0,44,0,8.80,0.00,0.00,Zimbabwe,Canberra,02/24/15,ODI ,3612,Andre Russell,276298
9,0,74,2,8.22,37.00,27.00,South Africa,Sydney,02/27/15,ODI ,3616,Andre Russell,276298
8,0,43,2,5.37,21.50,24.00,India,Perth,03/06/15,ODI ,3625,Andre Russell,276298
8,3,20,2,2.50,10.00,24.00,U.A.E.,Napier,03/15/15,ODI ,3638,Andre Russell,276298
10,0,96,2,9.60,48.00,30.00,New Zealand,Wellington,03/21/15,ODI ,3643,Andre Russell,276298
1,0,18,0,21.60,0.00,0.00,Sri Lanka,Colombo (RPS),11/01/15,ODI ,3701,Andre Russell,276298
9,0,62,1,6.88,62.00,54.00,Bangladesh,Providence,07/22/18,ODI ,4022,Andre Russell,276298
10,1,29,2,2.90,14.50,30.00,Bermuda,King City (NW),08/20/08,ODI ,2746,Kemar Roach,230553
8,0,49,1,6.12,49.00,48.00,Canada,King City (NW),08/22/08,ODI ,2749,Kemar Roach,230553
10,0,44,5,4.40,8.80,12.00,Bangladesh,Roseau,07/26/09,ODI ,2862,Kemar Roach,230553
8,0,55,1,7.02,55.00,47.00,Bangladesh,Roseau,07/28/09,ODI ,2863,Kemar Roach,230553
10,1,63,4,6.40,15.75,14.70,Bangladesh,Basseterre,07/31/09,ODI ,2865,Kemar Roach,230553
10,0,73,2,7.30,36.50,30.00,Australia,Johannesburg,09/26/09,ODI ,2897,Kemar Roach,230553
6,1,27,1,4.50,27.00,36.00,India,Johannesburg,09/30/09,ODI ,2904,Kemar Roach,230553
10,1,41,1,4.10,41.00,60.00,Australia,Melbourne,02/07/10,ODI ,2950,Kemar Roach,230553
6,0,44,1,7.33,44.00,36.00,Australia,Adelaide,02/09/10,ODI ,2952,Kemar Roach,230553
9,0,34,1,3.77,34.00,54.00,Zimbabwe,Providence,03/04/10,ODI ,2967,Kemar Roach,230553
10,0,37,3,3.76,12.33,19.60,Zimbabwe,Providence,03/06/10,ODI ,2970,Kemar Roach,230553
9,1,28,3,3.11,9.33,18.00,Zimbabwe,Kingstown,03/10/10,ODI ,2972,Kemar Roach,230553
7,0,30,1,4.09,30.00,44.00,Zimbabwe,Kingstown,03/12/10,ODI ,2974,Kemar Roach,230553
0,0,0,0,0.00,0.00,0.00,Sri Lanka,Colombo (SSC),01/31/11,ODI ,3092,Kemar Roach,230553
8,0,29,0,3.62,0.00,0.00,Sri Lanka,Colombo (SSC),02/03/11,ODI ,3096,Kemar Roach,230553
8,0,42,1,5.25,42.00,48.00,South Africa,Delhi,02/24/11,ODI ,3106,Kemar Roach,230553
8,0,27,6,3.17,4.50,8.50,Netherlands,Delhi,02/28/11,ODI ,3112,Kemar Roach,230553
6,0,19,3,3.16,6.33,12.00,Bangladesh,Dhaka,03/04/11,ODI ,3118,Kemar Roach,230553
8,0,34,1,4.25,34.00,48.00,Ireland,Mohali,03/11/11,ODI ,3126,Kemar Roach,230553
9,2,34,2,3.51,17.00,29.00,England,Chennai,03/17/11,ODI ,3135,Kemar Roach,230553
6,0,39,0,6.68,0.00,0.00,Pakistan,Dhaka,03/23/11,ODI ,3142,Kemar Roach,230553
9,0,58,0,6.10,0.00,0.00,Pakistan,Gros Islet,04/23/11,ODI ,3152,Kemar Roach,230553
9,1,43,0,4.77,0.00,0.00,Pakistan,Gros Islet,04/25/11,ODI ,3153,Kemar Roach,230553
9,0,36,0,4.00,0.00,0.00,Pakistan,Bridgetown,04/28/11,ODI ,3154,Kemar Roach,230553
10,0,67,2,6.70,33.50,30.00,Pakistan,Bridgetown,05/02/11,ODI ,3155,Kemar Roach,230553
8,0,46,0,5.52,0.00,0.00,India,North Sound,06/11/11,ODI ,3161,Kemar Roach,230553
8,1,22,0,2.75,0.00,0.00,India,North Sound,06/13/11,ODI ,3162,Kemar Roach,230553
10,0,52,2,5.20,26.00,30.00,India,Kingston,06/16/11,ODI ,3163,Kemar Roach,230553
8,0,48,0,6.00,0.00,0.00,Bangladesh,Dhaka,10/13/11,ODI ,3198,Kemar Roach,230553
10,1,49,3,4.90,16.33,20.00,Bangladesh,Dhaka,10/15/11,ODI ,3200,Kemar Roach,230553
5,0,16,1,3.20,16.00,30.00,Bangladesh,Chattogram,10/18/11,ODI ,3202,Kemar Roach,230553
10,0,46,3,4.60,15.33,20.00,India,Cuttack,11/29/11,ODI ,3217,Kemar Roach,230553
10,0,40,2,4.00,20.00,30.00,India,Visakhapatnam,12/02/11,ODI ,3219,Kemar Roach,230553
10,0,54,1,5.40,54.00,60.00,India,Ahmedabad,12/05/11,ODI ,3221,Kemar Roach,230553
10,0,88,1,8.80,88.00,60.00,India,Indore,12/08/11,ODI ,3223,Kemar Roach,230553
8,0,46,2,5.75,23.00,24.00,India,Chennai,12/11/11,ODI ,3224,Kemar Roach,230553
10,1,33,2,3.30,16.50,30.00,Australia,Kingstown,03/16/12,ODI ,3262,Kemar Roach,230553
8,3,23,2,2.87,11.50,24.00,Australia,Kingstown,03/18/12,ODI ,3264,Kemar Roach,230553
10,0,42,2,4.20,21.00,30.00,Australia,Kingstown,03/20/12,ODI ,3266,Kemar Roach,230553
9,0,74,2,7.78,37.00,28.50,Australia,Gros Islet,03/23/12,ODI ,3268,Kemar Roach,230553
9,0,53,3,5.88,17.66,18.00,Australia,Gros Islet,03/25/12,ODI ,3269,Kemar Roach,230553
7,0,48,0,6.85,0.00,0.00,Bangladesh,Khulna,11/30/12,ODI ,3309,Kemar Roach,230553
8,0,29,2,3.62,14.50,24.00,Bangladesh,Dhaka,12/07/12,ODI ,3312,Kemar Roach,230553
9,0,56,5,6.22,11.20,10.80,Bangladesh,Dhaka,12/08/12,ODI ,3313,Kemar Roach,230553
2,0,29,0,14.50,0.00,0.00,Australia,Perth,02/01/13,ODI ,3330,Kemar Roach,230553
10,0,51,1,5.10,51.00,60.00,Australia,Perth,02/03/13,ODI ,3331,Kemar Roach,230553
9,1,72,1,8.00,72.00,54.00,Australia,Canberra,02/06/13,ODI ,3332,Kemar Roach,230553
10,0,52,1,5.20,52.00,60.00,Australia,Melbourne,02/10/13,ODI ,3334,Kemar Roach,230553
8,1,15,1,1.87,15.00,48.00,Zimbabwe,St George's,02/22/13,ODI ,3337,Kemar Roach,230553
10,1,63,1,6.30,63.00,60.00,Zimbabwe,St George's,02/24/13,ODI ,3339,Kemar Roach,230553
7,3,15,0,2.14,0.00,0.00,Zimbabwe,St George's,02/26/13,ODI ,3340,Kemar Roach,230553
10,4,28,3,2.80,9.33,20.00,Pakistan,The Oval,06/07/13,ODI ,3364,Kemar Roach,230553
6,0,47,0,7.83,0.00,0.00,India,The Oval,06/11/13,ODI ,3368,Kemar Roach,230553
7,1,41,0,5.85,0.00,0.00,Sri Lanka,Kingston,06/28/13,ODI ,3378,Kemar Roach,230553
10,2,41,2,4.10,20.50,30.00,India,Kingston,06/30/13,ODI ,3380,Kemar Roach,230553
10,2,69,1,6.90,69.00,60.00,India,Port of Spain,07/05/13,ODI ,3383,Kemar Roach,230553
8,2,27,4,3.37,6.75,12.00,Sri Lanka,Port of Spain,07/07/13,ODI ,3385,Kemar Roach,230553
10,0,38,2,3.80,19.00,30.00,Pakistan,Providence,07/14/13,ODI ,3389,Kemar Roach,230553
6,4,14,1,2.33,14.00,36.00,Pakistan,Providence,07/16/13,ODI ,3390,Kemar Roach,230553
10,1,35,1,3.50,35.00,60.00,Pakistan,Gros Islet,07/19/13,ODI ,3391,Kemar Roach,230553
6,1,33,1,5.50,33.00,36.00,Pakistan,Gros Islet,07/21/13,ODI ,3393,Kemar Roach,230553
10,0,48,0,4.80,0.00,0.00,Bangladesh,St George's,08/20/14,ODI ,3509,Kemar Roach,230553
6,2,19,3,3.16,6.33,12.00,Bangladesh,St George's,08/22/14,ODI ,3511,Kemar Roach,230553
9,0,48,1,5.33,48.00,54.00,Bangladesh,Basseterre,08/25/14,ODI ,3514,Kemar Roach,230553
6,0,52,0,8.66,0.00,0.00,Ireland,Nelson,02/16/15,ODI ,3603,Kemar Roach,230553
8,1,44,1,5.50,44.00,48.00,India,Perth,03/06/15,ODI ,3625,Kemar Roach,230553
8,0,54,0,6.75,0.00,0.00,U.A.E.,Napier,03/15/15,ODI ,3638,Kemar Roach,230553
10,0,60,1,6.00,60.00,60.00,U.A.E.,Harare,03/06/18,ODI ,3987,Kemar Roach,230553
10,3,27,4,2.70,6.75,15.00,Ireland,Harare,03/10/18,ODI ,3993,Kemar Roach,230553
10,0,55,3,5.50,18.33,20.00,Zimbabwe,Harare,03/19/18,ODI ,4002,Kemar Roach,230553
7,2,20,2,2.85,10.00,21.00,Scotland,Harare,03/21/18,ODI ,4004,Kemar Roach,230553
5,0,24,0,4.80,0.00,0.00,Afghanistan,Harare,03/25/18,ODI ,4007,Kemar Roach,230553
7,0,52,0,7.42,0.00,0.00,India,Guwahati,10/21/18,ODI ,4056,Kemar Roach,230553
10,0,67,1,6.70,67.00,60.00,India,Visakhapatnam,10/24/18,ODI ,4059,Kemar Roach,230553
10,0,48,1,4.80,48.00,60.00,India,Pune,10/27/18,ODI ,4062,Kemar Roach,230553
10,0,74,2,7.40,37.00,30.00,India,Mumbai (BS),10/29/18,ODI ,4063,Kemar Roach,230553
5,2,13,0,2.60,0.00,0.00,India,Thiruvananthapuram,11/01/18,ODI ,4064,Kemar Roach,230553
6,0,35,0,5.83,0.00,0.00,Bangladesh,Dhaka,12/09/18,ODI ,4071,Kemar Roach,230553
10,0,39,1,3.90,39.00,60.00,Bangladesh,Dhaka,12/11/18,ODI ,4072,Kemar Roach,230553
3,0,16,0,5.33,0.00,0.00,Bangladesh,Sylhet,12/14/18,ODI ,4073,Kemar Roach,230553
7,0,28,2,4.00,14.00,21.00,Ireland,Dublin,05/05/19,ODI ,4128,Kemar Roach,230553
7,0,30,0,4.28,0.00,0.00,Bangladesh,Dublin,05/07/19,ODI ,4129,Kemar Roach,230553
10,2,62,0,6.20,0.00,0.00,Ireland,Dublin (Malahide),05/11/19,ODI ,4132,Kemar Roach,230553
6,0,46,1,7.66,46.00,36.00,Bangladesh,Dublin (Malahide),05/13/19,ODI ,4134,Kemar Roach,230553
5,0,57,0,11.40,0.00,0.00,Bangladesh,Dublin (Malahide),05/17/19,ODI ,4137,Kemar Roach,230553
0,0,0,0,0.00,0.00,0.00,England,Bridgetown,02/20/19,ODI ,4096,Nicholas Pooran ,604302
10,1,46,3,4.60,15.33,20.00,Sri Lanka,Harare,11/16/16,ODI ,3805,Ashley Nurse,315594
10,0,55,1,5.50,55.00,60.00,Zimbabwe,Bulawayo,11/19/16,ODI ,3806,Ashley Nurse,315594
8,0,58,1,7.25,58.00,48.00,Sri Lanka,Bulawayo,11/23/16,ODI ,3808,Ashley Nurse,315594
10,0,27,3,2.70,9.00,20.00,Zimbabwe,Bulawayo,11/25/16,ODI ,3809,Ashley Nurse,315594
10,0,57,2,5.70,28.50,30.00,England,North Sound,03/03/17,ODI ,3845,Ashley Nurse,315594
10,0,34,3,3.40,11.33,20.00,England,North Sound,03/05/17,ODI ,3848,Ashley Nurse,315594
8,0,57,1,7.12,57.00,48.00,England,Bridgetown,03/09/17,ODI ,3849,Ashley Nurse,315594
10,0,62,4,6.20,15.50,15.00,Pakistan,Providence,04/07/17,ODI ,3861,Ashley Nurse,315594
10,0,42,1,4.20,42.00,60.00,Pakistan,Providence,04/09/17,ODI ,3862,Ashley Nurse,315594
10,0,49,1,4.90,49.00,60.00,Pakistan,Providence,04/11/17,ODI ,3863,Ashley Nurse,315594
10,1,34,2,3.40,17.00,30.00,Afghanistan,Gros Islet,06/09/17,ODI ,3884,Ashley Nurse,315594
9,0,33,2,3.47,16.50,28.50,Afghanistan,Gros Islet,06/11/17,ODI ,3887,Ashley Nurse,315594
0,0,0,0,0.00,0.00,0.00,Afghanistan,Gros Islet,06/14/17,ODI ,3890,Ashley Nurse,315594
4,1,22,0,5.50,0.00,0.00,India,Port of Spain,06/23/17,ODI ,3895,Ashley Nurse,315594
9,0,38,1,4.22,38.00,54.00,India,Port of Spain,06/25/17,ODI ,3896,Ashley Nurse,315594
10,0,34,0,3.40,0.00,0.00,India,North Sound,06/30/17,ODI ,3898,Ashley Nurse,315594
10,0,29,1,2.90,29.00,60.00,India,North Sound,07/02/17,ODI ,3900,Ashley Nurse,315594
4,0,34,0,8.50,0.00,0.00,India,Kingston,07/06/17,ODI ,3902,Ashley Nurse,315594
